[11:53:27] 
🔷 [W-20]  NetBIOS 바인딩 서비스 구동 점검
[11:53:27]   📷 증빙 화면 캡처 대기 중...
[11:53:28]   [W-20] 단계: 창 열기
[11:53:29]   대상 창 확인: 네트워크 연결 / HWND=6751960 / PID=10792
[11:53:29]   [W-20] 단계: 오른쪽 정렬 확인
[11:53:29]   [W-20] 단계: 조치 및 설정 재조회
[11:53:29]   → 자동 변경 없음 (수동 조치(물리·가상 NIC별 NetBIOS 바인딩과 업무 의존성을 확인. 일괄 NIC 변경 금지.))
[11:53:29]   [W-20] 단계: 증빙 대상 탐색
[11:53:29]   NIC 전체 설정은 JSON으로 수집하며 이미지는 연결 목록입니다.
[11:53:30]   [W-20] 단계: 캡처 저장
[11:53:30]   증빙 이미지 저장: C:\Users\new-s\Desktop\KISA-fix-evidence-verification\KISA-fix-evidence-verification\Security Project - 복사본\KISA-AutoPatcher-Python\dist\evidence\20260918-114713-0833d989\W-20.png
[11:53:31]   증빙 창 닫기 완료 → 다음 항목 진행
[11:53:31]   [W-20] 단계: 창 닫힘 확인
